Date,Value
25-Oct-2012,10.2
8-Nov-2012,10.4
23-Apr-2013,10.3
7-May-2013,9.5
21-May-2013,10.7
4-Jun-2013,10.6
18-Jun-2013,10.5
16-Jul-2013,11.9
13-Aug-2013,10.7
10-Sep-2013,12.3
9-Oct-2013,12.4
22-Oct-2013,12.2
5-Nov-2013,12.5
19-Nov-2013,12.2
29-Apr-2014,12.2
29-Apr-2014,12.5
14-May-2014,10.5
14-May-2014,10.5
28-May-2014,11.4
28-May-2014,11.4
10-Jun-2014,12.3
10-Jun-2014,12.0
25-Jun-2014,13.0
25-Jun-2014,12.9
22-Jul-2014,12.6
22-Jul-2014,12.4
19-Aug-2014,12.3
19-Aug-2014,11.8
19-Sep-2014,11.7
19-Sep-2014,11.6
14-Oct-2014,12.1
14-Oct-2014,11.9
28-Oct-2014,12.0
28-Oct-2014,11.9
11-Nov-2014,11.9
11-Nov-2014,12.1
7-May-2015,10.7
19-May-2015,11.9
2-Jun-2015,11.9
16-Jun-2015,11.6
30-Jun-2015,12.3
28-Jul-2015,12.4
25-Aug-2015,12.2
22-Sep-2015,12.4
6-Oct-2015,12.4
20-Oct-2015,12.2
3-Nov-2015,13.0
17-Nov-2015,12.5
7-May-2015,11.5
19-May-2015,12.5
2-Jun-2015,11.8
16-Jun-2015,11.8
30-Jun-2015,12.2
28-Jul-2015,12.0
25-Aug-2015,12.1
22-Sep-2015,12.5
6-Oct-2015,12.3
20-Oct-2015,12.1
3-Nov-2015,13.4
17-Nov-2015,12.4
22-Mar-2016,11.3
6-Apr-2016,11.0
19-Apr-2016,11.3
4-May-2016,10.5
17-May-2016,11.7
31-May-2016,11.0
28-Jun-2016,12.6
26-Jul-2016,10.5
23-Aug-2016,12.3
20-Sep-2016,12.6
18-Oct-2016,11.7
1-Nov-2016,11.7
15-Nov-2016,13.7
22-Mar-2016,11.4
6-Apr-2016,11.3
19-Apr-2016,10.8
4-May-2016,10.7
17-May-2016,11.2
31-May-2016,14.1
28-Jun-2016,10.5
26-Jul-2016,9.9
23-Aug-2016,14.6
20-Sep-2016,12.3
18-Oct-2016,11.4
1-Nov-2016,11.7
15-Nov-2016,13.0
